Country,TouristArrival,Year,,,,,,,
United Arab Emirates,679,2020,,,,,,,
Ukraine,6326,2020,,,,,,,
United Kingdom,63868,2020,,,,,,,
Vietnam,64184,2020,,,,,,,
Australia,368271,2019,,,,,,,
Bangladesh,179000,2019,,,,,,,
Belgium,22082,2019,,,,,,,
Brunei,1216123,2019,,,,,,,
Cambodia,97097,2019,,,,,,,
Canada,87568,2019,,,,,,,
China,3114257,2019,,,,,,,
Denmark,22314,2019,,,,,,,
Egypt,29831,2019,,,,,,,
France,141661,2019,,,,,,,
Germany,130221,2019,,,,,,,
India,735309,2019,,,,,,,
Indonesia,3623277,2019,,,,,,,
Iran,46559,2019,,,,,,,
Iraq,21421,2019,,,,,,,
Ireland,19696,2019,,,,,,,
Italy,54710,2019,,,,,,,
Japan,424694,2019,,,,,,,
Kazakhstan,18138,2019,,,,,,,
Laos,26955,2019,,,,,,,
Myanmar,46257,2019,,,,,,,
Nepal,20437,2019,,,,,,,
Netherlands,82110,2019,,,,,,,
New Zealand,50140,2019,,,,,,,
Norway,14585,2019,,,,,,,
Pakistan,105757,2019,,,,,,,
Philippines,421908,2019,,,,,,,
Poland,27033,2019,,,,,,,
Russia,79984,2019,,,,,,,
Saudi Arabia,121444,2019,,,,,,,
Singapore,10163882,2019,,,,,,,
South Africa,22674,2019,,,,,,,
South Korea,673065,2019,,,,,,,
Spain,43616,2019,,,,,,,
Sri Lanka,26058,2019,,,,,,,
Sweden,29592,2019,,,,,,,
Switzerland,25659,2019,,,,,,,
Taiwan,382916,2019,,,,,,,
Thailand,1884306,2019,,,,,,,
Turkey,15290,2019,,,,,,,
United States of America,269928,2019,,,,,,,
United Arab Emirates,11174,2019,,,,,,,
Ukraine,16019,2019,,,,,,,
United Kingdom,346485,2019,,,,,,,
Vietnam,400346,2019,,,,,,,
Australia,351500,2018,,,,,,,
Bangladesh,150054,2018,,,,,,,
Belgium,20624,2018,,,,,,,
Brunei,1382031,2018,,,,,,,
Cambodia,90113,2018,,,,,,,
Canada,84705,2018,,,,,,,
China,2944133,2018,,,,,,,
Denmark,23566,2018,,,,,,,
Egypt,27909,2018,,,,,,,
France,139408,2018,,,,,,,
Germany,128895,2018,,,,,,,
India,600311,2018,,,,,,,
Indonesia,3277689,2018,,,,,,,
Iran,67094,2018,,,,,,,
Iraq,22291,2018,,,,,,,
Ireland,19687,2018,,,,,,,
Italy,52055,2018,,,,,,,
Japan,394540,2018,,,,,,,
Kazakhstan,13861,2018,,,,,,,
Laos,23782,2018,,,,,,,
Myanmar,38513,2018,,,,,,,
Nepal,19914,2018,,,,,,,
Netherlands,81651,2018,,,,,,,
New Zealand,50698,2018,,,,,,,
Norway,15202,2018,,,,,,,
Pakistan,74458,2018,,,,,,,
Philippines,396062,2018,,,,,,,
Poland,24364,2018,,,,,,,
Russia,72785,2018,,,,,,,
Saudi Arabia,112263,2018,,,,,,,
Singapore,10615986,2018,,,,,,,
South Africa,21977,2018,,,,,,,
South Korea,616783,2018,,,,,,,
Spain,42267,2018,,,,,,,
Sri Lanka,28376,2018,,,,,,,
Sweden,32665,2018,,,,,,,
Switzerland,25680,2018,,,,,,,
Taiwan,383922,2018,,,,,,,
Thailand,1914692,2018,,,,,,,
Turkey,15406,2018,,,,,,,
United States of America,253384,2018,,,,,,,
United Arab Emirates,9386,2018,,,,,,,
Ukraine,14529,2018,,,,,,,
United Kingdom,361335,2018,,,,,,,
Vietnam,375578,2018,,,,,,,
Australia,351232,2017,,,,,,,
Bangladesh,111836,2017,,,,,,,
Belgium,17327,2017,,,,,,,
Brunei,1660506,2017,,,,,,,
Cambodia,42004,2017,,,,,,,
Canada,67056,2017,,,,,,,
China,2281666,2017,,,,,,,
Denmark,23219,2017,,,,,,,
Egypt,23760,2017,,,,,,,
France,131668,2017,,,,,,,
Germany,109816,2017,,,,,,,
India,552739,2017,,,,,,,
Indonesia,2796570,2017,,,,,,,
Iran,59023,2017,,,,,,,
Iraq,18555,2017,,,,,,,
Ireland,20854,2017,,,,,,,
Italy,44638,2017,,,,,,,
Japan,392777,2017,,,,,,,
Kazakhstan,12577,2017,,,,,,,
Laos,39460,2017,,,,,,,
Myanmar,42314,2017,,,,,,,
Nepal,20553,2017,,,,,,,
Netherlands,75885,2017,,,,,,,
New Zealand,55923,2017,,,,,,,
Norway,14121,2017,,,,,,,
Pakistan,53453,2017,,,,,,,
Philippines,370559,2017,,,,,,,
Poland,20067,2017,,,,,,,
Russia,67564,2017,,,,,,,
Saudi Arabia,100549,2017,,,,,,,
Singapore,12441713,2017,,,,,,,
South Africa,21560,2017,,,,,,,
South Korea,484528,2017,,,,,,,
Spain,35149,2017,,,,,,,
Sri Lanka,43738,2017,,,,,,,
Sweden,34304,2017,,,,,,,
Switzerland,20775,2017,,,,,,,
Taiwan,332927,2017,,,,,,,
Thailand,1836522,2017,,,,,,,
Turkey,14594,2017,,,,,,,
United States of America,198203,2017,,,,,,,
United Arab Emirates,8555,2017,,,,,,,
Ukraine,13068,2017,,,,,,,
United Kingdom,358818,2017,,,,,,,
Vietnam,248927,2017,,,,,,,
Australia,377727,2016,,,,,,,
Bangladesh,114607,2016,,,,,,,
Belgium,14283,2016,,,,,,,
Brunei,1391016,2016,,,,,,,
Cambodia,61844,2016,,,,,,,
Canada,72337,2016,,,,,,,
China,2124942,2016,,,,,,,
Denmark,21612,2016,,,,,,,
Egypt,30231,2016,,,,,,,
France,134257,2016,,,,,,,
Germany,130276,2016,,,,,,,
India,638578,2016,,,,,,,
Indonesia,3049964,2016,,,,,,,
Iran,47102,2016,,,,,,,
Iraq,22533,2016,,,,,,,
Ireland,18208,2016,,,,,,,
Italy,42747,2016,,,,,,,
Japan,413768,2016,,,,,,,
Kazakhstan,10717,2016,,,,,,,
Laos,31061,2016,,,,,,,
Myanmar,49175,2016,,,,,,,
Nepal,60476,2016,,,,,,,
Netherlands,72200,2016,,,,,,,
New Zealand,53352,2016,,,,,,,
Norway,14709,2016,,,,,,,
Pakistan,58388,2016,,,,,,,
Philippines,417446,2016,,,,,,,
Poland,19768,2016,,,,,,,
Russia,50893,2016,,,,,,,
Saudi Arabia,123878,2016,,,,,,,
Singapore,13272961,2016,,,,,,,
South Africa,20053,2016,,,,,,,
South Korea,444439,2016,,,,,,,
Spain,28018,2016,,,,,,,
Sri Lanka,33340,2016,,,,,,,
Sweden,32861,2016,,,,,,,
Switzerland,26628,2016,,,,,,,
Taiwan,300861,2016,,,,,,,
Thailand,1780800,2016,,,,,,,
Turkey,13029,2016,,,,,,,
United States of America,217075,2016,,,,,,,
United Arab Emirates,14150,2016,,,,,,,
Ukraine,12971,2016,,,,,,,
United Kingdom,400269,2016,,,,,,,
Vietnam,216877,2016,,,,,,,
